month,python,r,numpy,scipy
09-Jan,631,8,6,2
09-Feb,633,9,7,NaN
09-Mar,766,4,4,2
09-Apr,768,12,6,3
09-May,NaN,NaN,7,2
09-Jun,1046,5,13,2
09-Jul,1165,51,6,7
09-Aug,1143,47,10,5
09-Sep,1169,139,8,2
09-Oct,1424,73,27,9
09-Nov,1562,94,39,10
09-Dec,1552,80,26,4
10-Jan,1952,94,21,15
10-Feb,NaN,122,40,11
10-Mar,2076,140,39,16
10-Apr,1817,160,42,17
10-May,2017,139,31,17
10-Jun,2214,178,43,24
10-Jul,2607,235,36,NaN
10-Aug,2498,283,49,13
10-Sep,2254,236,42,16
10-Oct,2671,214,51,17
10-Nov,2619,244,66,21
10-Dec,2441,221,62,19
11-Jan,2913,251,51,17
11-Feb,3024,322,62,24
11-Mar,3763,423,116,36
11-Apr,3359,476,101,22
11-May,3538,NaN,93,23
11-Jun,3485,444,83,36
11-Jul,3688,454,95,25
11-Aug,NaN,587,124,41
11-Sep,3526,613,120,25
11-Oct,3639,623,139,46
11-Nov,3889,609,107,44
11-Dec,3555,608,106,36
12-Jan,4232,691,145,54
12-Feb,4517,815,148,64
12-Mar,5073,892,167,66
12-Apr,4948,849,156,46
12-May,5133,882,171,54
12-Jun,5295,975,177,59
12-Jul,5751,1125,205,71
12-Aug,5882,1093,223,76
12-Sep,5273,1061,231,76
12-Oct,6154,1270,248,93
12-Nov,6408,1348,281,107
12-Dec,5636,1194,206,75
13-Jan,NaN,1515,255,104
13-Feb,6793,1678,283,75
13-Mar,7680,1858,329,101
13-Apr,7975,1849,386,121
13-May,7862,1795,364,96
13-Jun,7640,1785,296,95
13-Jul,8656,1980,414,131
13-Aug,7974,1930,336,113
13-Sep,7999,1723,394,111
13-Oct,9539,NaN,453,139
13-Nov,9546,2194,487,134
13-Dec,8306,1869,395,123
14-Jan,9892,2366,485,115
14-Feb,9951,2624,556,159
14-Mar,11483,2830,566,157
14-Apr,10839,2748,507,130
14-May,9330,2603,509,145
14-Jun,8967,2407,437,124
14-Jul,9999,2654,485,149
14-Aug,9170,2490,470,153
14-Sep,8829,2385,426,103
14-Oct,NaN,2796,524,NaN
14-Nov,NaN,2727,461,97
14-Dec,8886,2315,419,118
15-Jan,9757,2717,495,121
15-Feb,10264,2984,553,130
15-Mar,11685,3581,648,149
15-Apr,11522,3341,598,150
15-May,11286,3440,625,156
15-Jun,11887,3448,603,172
15-Jul,12392,3999,651,173
15-Aug,11296,3509,559,144
15-Sep,11040,3349,533,149
15-Oct,12578,3704,602,150
15-Nov,12384,3556,669,170
15-Dec,11446,3129,565,133
16-Jan,12439,3561,686,145
16-Feb,13334,3621,754,171
16-Mar,14173,4075,809,197
16-Apr,13775,4167,823,178
16-May,13207,NaN,691,187
16-Jun,13009,3884,774,155
16-Jul,12943,3768,794,159
16-Aug,13006,3804,759,155
16-Sep,12424,3318,767,157
16-Oct,13616,3808,799,181
16-Nov,14296,3585,841,189
16-Dec,12889,3136,735,161
17-Jan,14388,3519,802,138
17-Feb,14901,3706,931,175
17-Mar,NaN,4637,1092,219
17-Apr,15752,4280,1031,229
17-May,16291,4349,965,191
17-Jun,16173,4490,961,195
17-Jul,17064,4611,1022,177
17-Aug,17472,5051,1020,185
17-Sep,16949,4641,963,153
17-Oct,18735,5053,1174,210
17-Nov,18935,5117,1156,223
17-Dec,16207,4022,959,200
18-Jan,16307,4209,1003,183
18-Feb,16393,4517,1012,172
18-Mar,17970,5112,1058,196
18-Apr,17030,4746,968,174
18-May,17639,4738,960,200
18-Jun,16860,4508,932,173
18-Jul,17988,4417,1043,214
18-Aug,17874,4141,978,215
18-Sep,16158,3809,900,191
18-Oct,18329,4394,1008,166
18-Nov,18215,4278,1021,193
18-Dec,15537,3392,898,146
19-Jan,17167,3997,921,140
19-Feb,17749,4301,1077,170
19-Mar,20144,4552,1215,203
19-Apr,20054,4660,1143,165
19-May,19128,4359,1017,193
19-Jun,17515,4005,906,170
19-Jul,20041,4265,1077,175
19-Aug,20257,4486,1111,212
19-Sep,19207,4474,1020,135
19-Oct,23414,5138,1310,188
19-Nov,23602,4883,1297,199
19-Dec,20058,4150,1118,159
