Date,Open,High,Low,Close,Volume
08/24/2022,"275.41","277.23","275.11","275.79","18,137,020"
08/23/2022,"276.44","278.86","275.40","276.44","17,527,410"
08/22/2022,"282.08","282.46","277.22","277.75","25,061,070"
08/19/2022,"288.90","289.25","285.56","286.15","20,570,029"
08/18/2022,"290.19","291.91","289.08","290.17","17,186,189"
08/17/2022,"289.74","293.35","289.47","291.32","18,253,359"
08/16/2022,"291.99","294.04","290.42","292.71","18,102,881"
08/15/2022,"291.00","294.18","290.11","293.47","18,085,650"
08/12/2022,"288.48","291.91","286.94","291.91","22,619,680"
08/11/2022,"290.85","291.21","286.51","287.02","20,065,939"
08/10/2022,"288.17","289.81","286.94","289.16","24,687,850"
08/09/2022,"279.64","283.08","277.61","282.30","23,405,240"
08/08/2022,"284.05","285.92","279.32","280.32","18,757,820"
08/05/2022,"279.15","283.65","278.68","282.91","16,774,609"
08/04/2022,"281.80","283.80","280.17","283.65","18,098,670"
08/03/2022,"276.76","283.50","276.61","282.47","23,518,869"
08/02/2022,"276.00","277.89","272.38","274.82","22,754,180"
08/01/2022,"277.82","281.28","275.84","278.01","21,539,580"
07/29/2022,"277.70","282.00","276.63","280.74","32,152,750"
07/28/2022,"269.75","277.84","267.87","276.41","33,459,328"
07/27/2022,"261.16","270.05","258.85","268.74","45,994,047"
07/26/2022,"259.86","259.88","249.57","251.90","39,347,961"
07/25/2022,"261.00","261.50","256.81","258.83","21,056,000"
07/22/2022,"265.24","265.33","259.07","260.36","21,881,289"
07/21/2022,"259.79","264.89","257.03","264.84","22,404,680"
07/20/2022,"259.90","264.87","258.91","262.27","22,788,279"
07/19/2022,"257.58","259.72","253.68","259.53","25,012,561"
07/18/2022,"259.75","260.84","253.30","254.25","20,975,029"
07/15/2022,"255.72","260.37","254.77","256.72","29,774,051"
07/14/2022,"250.57","255.14","245.94","254.08","25,102,820"
07/13/2022,"250.19","253.55","248.11","252.72","29,497,420"
07/12/2022,"265.88","265.94","252.04","253.67","35,868,449"
07/11/2022,"265.65","266.53","262.18","264.51","19,519,109"
07/08/2022,"264.79","268.10","263.29","267.66","19,658,750"
07/07/2022,"265.12","269.06","265.02","268.40","20,859,869"
07/06/2022,"263.75","267.99","262.40","266.21","23,824,420"
07/05/2022,"256.16","262.98","254.74","262.85","22,971,631"
07/01/2022,"256.39","259.77","254.61","259.58","22,837,689"
06/30/2022,"257.05","259.53","252.90","256.83","31,730,869"
06/29/2022,"257.59","261.97","255.76","260.26","20,069,840"
06/28/2022,"263.98","266.91","256.32","256.48","27,380,250"
06/27/2022,"268.21","268.30","263.28","264.89","24,615,109"
