Date,Number Sold
2003-Jan,141
2003-Feb,157
2003-Mar,185
2003-Apr,199
2003-May,203
2003-Jun,189
2003-Jul,207
2003-Aug,207
2003-Sep,171
2003-Oct,150
2003-Nov,138
2003-Dec,165
2004-Jan,145
2004-Feb,168
2004-Mar,197
2004-Apr,208
2004-May,210
2004-Jun,209
2004-Jul,238
2004-Aug,238
2004-Sep,199
2004-Oct,168
2004-Nov,152
2004-Dec,196
2005-Jan,183
2005-Feb,200
2005-Mar,249
2005-Apr,251
2005-May,289
2005-Jun,249
2005-Jul,279
2005-Aug,279
2005-Sep,232
2005-Oct,204
2005-Nov,194
2005-Dec,232
2006-Jan,215
2006-Feb,239
2006-Mar,270
2006-Apr,279
2006-May,307
2006-Jun,305
2006-Jul,322
2006-Aug,339
2006-Sep,263
2006-Oct,241
2006-Nov,229
2006-Dec,272
2007-Jan,247
2007-Feb,261
2007-Mar,330
2007-Apr,362
2007-May,385
2007-Jun,340
2007-Jul,370
2007-Aug,381
2007-Sep,299
2007-Oct,266
2007-Nov,239
2007-Dec,281
2008-Jan,257
2008-Feb,250
2008-Mar,329
2008-Apr,350
2008-May,393
2008-Jun,370
2008-Jul,423
2008-Aug,410
2008-Sep,326
2008-Oct,289
2008-Nov,270
2008-Dec,321
2009-Jan,305
2009-Feb,310
2009-Mar,374
2009-Apr,414
2009-May,454
2009-Jun,441
2009-Jul,510
2009-Aug,486
2009-Sep,393
2009-Oct,345
2009-Nov,315
2009-Dec,389
2010-Jan,358
2010-Feb,368
2010-Mar,444
2010-Apr,482
2010-May,534
2010-Jun,524
2010-Jul,578
2010-Aug,567
2010-Sep,447
2010-Oct,386
2010-Nov,360
2010-Dec,428
2011-Jan,397
2011-Feb,400
2011-Mar,498
2011-Apr,536
2011-May,596
2011-Jun,591
2011-Jul,651
2011-Aug,654
2011-Sep,509
2011-Oct,437
2011-Nov,406
2011-Dec,470
2012-Jan,428
2012-Feb,423
2012-Mar,507
2012-Apr,536
2012-May,610
2012-Jun,609
2012-Jul,687
2012-Aug,707
2012-Sep,509
2012-Oct,452
2012-Nov,412
2012-Dec,472
2013-Jan,454
2013-Feb,455
2013-Mar,568
2013-Apr,610
2013-May,706
2013-Jun,661
2013-Jul,767
2013-Aug,783
2013-Sep,583
2013-Oct,513
2013-Nov,481
2013-Dec,567
2014-Jan,525
2014-Feb,520
2014-Mar,587
2014-Apr,710
2014-May,793
2014-Jun,749
2014-Jul,871
2014-Aug,848
2014-Sep,640
2014-Oct,581
2014-Nov,519
2014-Dec,605
